Exception,Definition
``ElementClickInterceptedException``,The Element Click command could not be completed because the element receiving the events is obscuring the element that was requested to be clicked.
``ElementNotInteractableException``,Thrown when an element is present in the DOM but interactions with that element will hit another element due to paint order.
``ElementNotSelectableException``,Thrown when trying to select an unselectable element.
``ElementNotVisibleException``,"Thrown when an element is present on the DOM, but it is not visible, and so is not able to be interacted with."
``ImeActivationFailedException``,Thrown when activating an IME engine has failed.
``ImeNotAvailableException``,Thrown when IME support is not available.
``InsecureCertificateException``,"Navigation caused the user agent to hit a certificate warning, which is usually the result of an expired or invalid TLS certificate."
``InvalidArgumentException``,The arguments passed to a command are either invalid or malformed.
``InvalidCookieDomainException``,Thrown when attempting to add a cookie under a different domain than the current URL.
``InvalidCoordinatesException``,The coordinates provided to an interaction's operation are invalid.
``InvalidElementStateException``,Thrown when a command could not be completed because the element is in an invalid state.
``InvalidSelectorException``,Thrown when the selector which is used to find an element does not return a WebElement.
``InvalidSessionIdException``,"Occurs if the given session id is not in the list of active sessions, meaning the session either does not exist or that it's not active."
``InvalidSwitchToTargetException``,Thrown when frame or window target to be switched doesn't exist.
``JavascriptException``,An error occurred while executing JavaScript supplied by the user.
``MoveTargetOutOfBoundsException``,Thrown when the target provided to the ActionsChains move method is invalid.
``NoAlertPresentException``,Thrown when switching to no presented alert.
``NoSuchAttributeException``,Thrown when the attribute of element could not be found.
``NoSuchCookieException``,No cookie matching the given path name was found amongst the associated cookies of the current browsing context's active document.
``NoSuchElementException``,Thrown when element could not be found.
``NoSuchFrameException``,Thrown when frame target to be switched doesn't exist.
``NoSuchWindowException``,Thrown when window target to be switched doesn't exist.
``RemoteDriverServerException``,Thrown when an issue occurs with the remote server.
``ScreenshotException``,A screen capture was made impossible.
``SessionNotCreatedException``,A new session could not be created.
``StaleElementReferenceException``,Thrown when a reference to an element is now stale.
``TimeoutException``,Thrown when a command does not complete in enough time.
``UnableToSetCookieException``,Thrown when an unexpected alert has appeared.
``UnexpectedTagNameException``,Thrown when a support class did not get an expected web element.
``UnknownMethodException``,The requested command matched a known URL but did not match any methods for that URL.
``WebDriverException``,Base webdriver exception.
